Timestamp,drone_x,drone_y,drone_z,payload_x,payload_y,payload_z,round_bar_x,round_bar_y,round_bar_z
1717790535123433220,-236.30014038085938,35.779605865478516,2046.6727294921875,-389.3999837239583,63.051300048828125,1016.1746419270834,-1668.4605407714844,131.86933135986328,1818.7977905273438
1717790535123451093,-236.30014038085938,35.779605865478516,2046.6727294921875,-391.8773498535156,61.649471282958984,1016.314453125,-1668.4559936523438,131.86441040039062,1818.7967529296875
1717790535123453249,-236.30014038085938,35.779605865478516,2046.6727294921875,-391.8773498535156,61.649471282958984,1016.314453125,-1668.4514465332031,131.85948944091797,1818.7957153320312
1717790535123455267,-237.4951904296875,35.63054885864258,2046.75654296875,-391.8773498535156,61.649471282958984,1016.314453125,-1668.4468994140625,131.8545684814453,1818.794677734375
1717790535123472674,-238.69024047851562,35.48149185180664,2046.8403564453124,-391.8773498535156,61.649471282958984,1016.314453125,-1668.4468994140625,131.8545684814453,1818.794677734375
1717790535123474605,-239.88529052734376,35.332434844970706,2046.924169921875,-395.38526916503906,59.627756118774414,1016.5551147460938,-1668.4468994140625,131.8545684814453,1818.794677734375
1717790535133378558,-241.08034057617186,35.18337783813477,2047.0079833984375,-398.8931884765625,57.606040954589844,1016.7957763671875,-1668.4435628255208,131.85542805989584,1818.7878011067708
1717790535133380975,-242.275390625,35.03432083129883,2047.091796875,-398.8931884765625,57.606040954589844,1016.7957763671875,-1668.4402262369792,131.85628763834634,1818.7809244791667
1717790535133383000,-242.275390625,35.03432083129883,2047.091796875,-398.8931884765625,57.606040954589844,1016.7957763671875,-1668.4368896484375,131.85714721679688,1818.7740478515625
1717790535133397373,-242.275390625,35.03432083129883,2047.091796875,-398.8931884765625,57.606040954589844,1016.7957763671875,-1668.4368896484375,131.85714721679688,1818.7740478515625
1717790535133399331,-242.275390625,35.03432083129883,2047.091796875,-401.0670878092448,56.17041905721029,1017.0336710611979,-1668.4368896484375,131.85714721679688,1818.7740478515625
1717790535133401166,-244.30225118001303,34.78951644897461,2047.2913004557292,-403.24098714192706,54.73479715983073,1017.2715657552084,-1668.4368896484375,131.85714721679688,1818.7740478515625
1717790535143552579,-246.32911173502603,34.54471206665039,2047.4908040364583,-405.4148864746094,53.29917526245117,1017.5094604492188,-1668.4443359375,131.8492228190104,1818.7867838541667
1717790535143558988,-248.35597229003906,34.29990768432617,2047.6903076171875,-405.4148864746094,53.29917526245117,1017.5094604492188,-1668.4517822265625,131.84129842122397,1818.7995198567708
1717790535143561266,-248.35597229003906,34.29990768432617,2047.6903076171875,-405.4148864746094,53.29917526245117,1017.5094604492188,-1668.459228515625,131.8333740234375,1818.812255859375
1717790535143582890,-248.35597229003906,34.29990768432617,2047.6903076171875,-405.4148864746094,53.29917526245117,1017.5094604492188,-1668.459228515625,131.8333740234375,1818.812255859375
1717790535143585046,-248.35597229003906,34.29990768432617,2047.6903076171875,-407.6458231608073,51.88178253173828,1017.7241617838541,-1668.459228515625,131.8333740234375,1818.812255859375
1717790535143587219,-250.42457580566406,34.02834701538086,2047.8929850260417,-409.8767598470052,50.46438980102539,1017.9388631184896,-1668.459228515625,131.8333740234375,1818.812255859375
1717790535156641335,-252.49317932128906,33.75678634643555,2048.095662434896,-412.1076965332031,49.0469970703125,1018.153564453125,-1668.4678955078125,131.83513387044272,1818.819091796875
1717790535156653138,-254.56178283691406,33.485225677490234,2048.29833984375,-412.1076965332031,49.0469970703125,1018.153564453125,-1668.4765625,131.8368937174479,1818.825927734375
1717790535156659250,-254.56178283691406,33.485225677490234,2048.29833984375,-412.1076965332031,49.0469970703125,1018.153564453125,-1668.4852294921875,131.83865356445312,1818.832763671875
1717790535156719825,-254.56178283691406,33.485225677490234,2048.29833984375,-412.1076965332031,49.0469970703125,1018.153564453125,-1668.4852294921875,131.83865356445312,1818.832763671875
